prefLabel (English),Translation prefLabel (Spanish),Identifier,altLabel (English),Translation altLabel (Spanish),Description/Scope Note (English),Description/Scope Note (Spanish),translationNote,historyNote (English),historyNote (Spanish),"Comments (Ernesto, postdoc)"
Latino/a/x transgender people,Personas transgénero Latinx,homoit0001417,"Latina transgender people||
Latine transgender people||
Latino transgender people||
Latinx transgender people||
Transgender Latinas||
Transgender Latine people||
Transgender Latinos||
Transgender Latinx people",,"Latin American people who are transgender; only use to describe individuals who self-identify as Latino, Latina, or Latinx. Do not conflate with Chicano/a/x or Hispanic.","Personas latinoamericanas que son transgénero; utilícese únicamente para describir a personas que se autoidentifican como latinos, latinas o latinxs. No debe confundirse con chicano/a/x o hispano/a/x.",,"Term changed from “Latinx” to “Latino/a/x” to acknowledge the variation in use among the affected community. To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians). Terms for white LGBTQ+ people also follow this format to avoid treating whiteness as the standard or norm and instead emphasize its specificity and significance.","El término cambió de “Latinx” a “Latino/a/x” para reconocer la variación en el uso entre la comunidad afectada. Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras). Los términos para las personas blancas LGBTQ+ también siguen este formato para evitar tratar la blancura como el estándar o norma y, en cambio, enfatizan su especificidad y significado.",
Lavender Scare,Terror lila,homoit0000701,,"Lavender scare|| 
Terror lavanda",Term used to describe the mid-20th century purge of lesbians and gay men in the U.S. government as a result of moral panic incited by Joseph McCarthy and others.,Término utilizado para describir la purga de lesbianas y hombres gay en el gobierno estadounidense a mediados del siglo XX como resultado del pánico moral incitado por Joseph McCarthy y otras personas.,,,,
Law,Derecho,homoit0000702,Legislation,"Legislación|| 
Ley|| 
Leyes",System of rules or conduct recognized and legally enforced within a country or community.,Sistema de reglas o conductas reconocidas y legalmente aplicadas dentro de un país o una comunidad.,,,,
LBT,LBT,homoit0000703,,,"Acronym used to describe lesbians, bisexuals, and transgender people as a group.","Acrónimo utilizado para describir a lesbianas, personas bisexuales y personas transgénero como grupo.",,,,
Leashes,Correas,homoit0000704,,,"A length of rope or similar material used to control an individual, often to increase sexual arousal.","Un trozo de cuerda o material similar utilizado para controlar a una persona, a menudo para aumentar la excitación sexual.",,,,
Leather and kink activism,Activismo leather y kink ,homoit0001319,,,"Organizing and activism focused on increasing awareness and acceptance of kinks, fetishes, sadomasochism, leather and related subcultures, closely associated with LGBTQ+ activism and the sex-positive feminist movement.","Organización y activismo centrados en aumentar la concienciación y la aceptación de las subculturas kinks, fetichistas, sadomasoquistas, de cuero y afines, estrechamente relacionadas con el activismo LGBTQ+ y el movimiento feminista del sexo positivo.",,,,
Leather and kink clubs,Clubes leather y kink ,homoit0003104,"Kink clubs||
SM clubs",Clubs leather y kink || Clubes kink || Clubs kink ,"Social clubs and other types of membership organizations in the leather, kink, and related communities.","Clubes sociales y otros tipos de organizaciones en comunidades de cuero, kink y afines.",,,,
Leather and kink conventions,Convenciones leather y kink ,homoit0003080,,,"Leather and kink conventions typically take place annually at a hotel, resort, or other venue. They usually include parties, performances, title contests, vendors, play spaces, and classes and workshops on kink, sex, relationships, activism, and related topics.","Las convenciones de cuero y kink suelen celebrarse anualmente en un hotel, centro turístico u otro lugar. Suelen incluir fiestas, actuaciones, concursos de títulos, vendedores, espacios de juego y clases y talleres sobre kink, sexo, relaciones, activismo y temas relacionados.",,,,
Leather bars,Bares leather,homoit0001553,,,Bars or clubs that cater to members of the leather community.,Bares o clubes que atienden a miembros de la comunidad de cuero.,,,,
Leather community,Comunidad leather,homoit0000705,Leather scene,,"An LGBTQ+ subculture that celebrates sexual freedom, kinks and fetishes with its own fashions (especially leather garments), clubs, and events.","Subcultura LGBTQ+ que celebra la libertad sexual, los kinks y los fetiches con su propia moda (especialmente prendas de cuero), clubes y eventos.",,,,
Leather daddies,Papis leather,homoit0000706,,,People who participate in leather communities and identify as leather daddies.,Personas que participan en comunidades leather y se autoidentifican como papis leather.,,,,
Leather families,Familias leather,homoit0000707,Leather household,,Multiple people who participate in leather communities and identify as a leather family.,Múltiples personas que participan en comunidades de cuero y se autoidentifican como una familia leather.,,,,
Leather fetish,Fetiche leather,homoit0003065,,,"Eroticization of leather, especially leather garments and accessories associated with the leather and kink communities.","La erotización del cuero, especialmente de prendas y accesorios de cuero asociados a las comunidades leather y kink.",,,,
Leather mommies,Mamis leather ,homoit0000708,,,"Older women, often lesbians, who are part of the leather community; typically used to describe dominatrices.","Mujeres mayores, a menudo lesbianas, que forman parte de la comunidad de cuero; típicamente utilizado para describir a las dominatrices.",,,,
Leather people,Personas leather,homoit0003086,,Leather people,People who participate in or identify with leather communities.,Personas que participan en comunidades de cuero o se autoidentifican con ellas.,,,,
Leatherboys,Chicos leather ,homoit0003087,,Leatherboys,People who participate in leather communities and identify as leatherboy.,Personas que participan en comunidades de cuero y se autoidentifican como leatherboys.,,,,
Leathergirls,Chicas leather,homoit0003088,,Leathergirls,People who participate in leather communities and identify as leathergirls.,Personas que participan en comunidades de cuero y se autoidentifican como leathergirls.,,,,
Leathermen,Hombres leather,homoit0000709,,Leathermen,Men who have fetishes for or engage in fetish activities involving leather and belong to the leather community; frequently associated with LGBTQ+ subcultures.,Hombres que tienen fetiches o participan en actividades fetichistas relacionadas con el cuero y pertenecen a la comunidad de cuero; frecuentemente asociados a las subculturas LGBTQ+.,,,,
Leatherwomen,Mujeres leather,homoit0000710,,Leatherwomen,Women who have fetishes for or engage in fetish activities involving leather and belong to the leather community; frequently associated with LGBTQ+ subcultures.,Mujeres que tienen fetiches o participan en actividades fetichistas relacionadas con el cuero y pertenecen a la comunidad de cuero; frecuentemente asociadas a subculturas LGBTQ+.,,,,
Legal name,Nombre legal,homoit0000711,,,Use in reference to laws and regulations concerning the name assigned to an individual at birth.,Utilícese en referencia a las leyes y regulaciones relativas al nombre asignado a una persona al nacer.,,,,
Legal name change,Cambio de nombre legal,homoit0000247,Change of name,Cambio de nombre,The process by which an individual adopts a new name on legal or government-issued documents.,El proceso mediante el cual una persona adopta un nombre nuevo en documentos legales o emitidos por el gobierno.,,,,
Legal status,Estatus legal,homoit0000712,,Status legal,"The status or standing of an individual or thing within a certain legal jurisdiction, including the individual's or thing's legal rights and privileges; typically used in reference to citizenship or marriage.","El estatus o la posición de una persona o cosa dentro de una determinada jurisdicción legal, incluidos los derechos y privilegios legales de la persona o cosa; normalmente se utiliza en referencia a la ciudadanía o al matrimonio.",,,,
